accx,accy,accz,gyrx,gyry,gyrz,magx,magy,magz,linaccx,linaccy,linaccz,rotx,roty,rotz,timestamp
-4.975151,-3.6296098,7.6015906,0.12950343,0.10262536,-0.058643065,324.9,-333.66,-1140.6,-0.17956513,0.110133275,-0.08619126,-0.217074,0.251253,0.054671,10.044768000000001
-5.046977,-3.7612908,7.656657,0.1282817,0.10262536,-0.056199603,324.66,-333.72,-1140.1799,-0.23463176,-0.031124622,-0.02633622,-0.217074,0.251253,0.054671,9.992116
-4.9895163,-3.6631286,7.551312,0.13316862,0.10140363,-0.05497787,325.13998,-334.56,-1139.94,-0.17717093,0.06464344,-0.1316811,-0.214575,0.253565,0.051276,10.02927
-5.0278234,-3.7253778,7.608773,0.13561209,0.10140363,-0.04886922,324.96,-334.08,-1140.0,-0.19871874,-0.009576807,-0.07182605,-0.214575,0.253565,0.051276,10.019845
-5.085284,-3.691859,7.6470804,0.12217305,0.111177474,-0.039095376,324.24,-333.78,-1140.4199,-0.25617957,0.021547815,-0.033518825,-0.214575,0.253565,0.051276,10.649347
-5.0757074,-3.53863,7.675811,0.10995574,0.111177474,-0.036651913,324.36,-333.78,-1140.24,-0.22744916,0.16280572,0.0,-0.214575,0.253565,0.051276,9.386923999999999
-5.068525,-3.5984852,7.6734166,0.096516706,0.1001819,-0.032986723,324.12,-332.94,-1140.84,-0.22026655,0.10295067,0.0,-0.212508,0.255905,0.04905,12.527654
-5.1571107,-3.6176388,7.704541,0.09773844,0.09040806,-0.03176499,324.47998,-332.94,-1141.08,-0.2896984,0.07182605,0.035913024,-0.212508,0.255905,0.04905,7.653807
-5.1762643,-3.6104562,7.587225,0.089186326,0.08552113,-0.029321533,324.9,-333.41998,-1141.14,-0.30885202,0.079008654,-0.079008654,-0.212508,0.255905,0.04905,10.234539
-5.1235914,-3.5410242,7.615956,0.07086037,0.08307768,-0.02565634,325.13998,-334.13998,-1141.62,-0.23942018,0.1412579,-0.04309563,-0.212508,0.255905,0.04905,9.673384
-5.097255,-3.347094,7.5800424,0.059864793,0.07574729,-0.018325957,325.32,-333.66,-1141.5,-0.21308395,0.33518824,-0.079008654,-0.212508,0.255905,0.04905,10.030344999999999
-5.1762643,-3.502717,7.6853876,0.05375614,0.064751714,-0.007330383,325.02,-333.6,-1141.98,-0.272939,0.16759412,0.031124622,-0.212508,0.255905,0.04905,10.032499
-5.058948,-3.655946,7.589619,0.05497787,0.057421334,-0.0036651916,324.78,-333.06,-1142.7,-0.15562311,0.01436521,-0.062249243,-0.211353,0.257624,0.047821,10.04131
-5.023035,-3.763685,7.642292,0.040317107,0.05009095,-0.002443461,324.12,-332.28,-1143.0,-0.10295067,-0.10055647,-0.0047884034,-0.211353,0.257624,0.047821,10.001615999999999
-4.972757,-3.7062242,7.5968018,0.02443461,0.04642576,-0.0036651916,323.69998,-332.69998,-1143.12,-0.05267244,-0.04309563,-0.050278235,-0.211353,0.257624,0.047821,10.024076
-5.0038815,-3.6128504,7.630321,0.010995574,0.04153884,-0.0061086523,323.34,-332.88,-1143.12,-0.074220255,0.045489833,-0.011971008,-0.211353,0.257624,0.047821,10.006499
