accx,accy,accz,gyrx,gyry,gyrz
-4.003105,-6.1746464,2.327164,0.23457226,-0.874759,0.15882497
-4.534618,-6.3685765,1.8531121,0.34697145,-0.82711154,0.22968534
-5.1571107,-6.277597,1.5035586,0.4361578,-0.7733554,0.32253686
-5.674258,-6.3661823,0.866701,0.5522222,-0.7171558,0.408058
-5.9998693,-6.3925185,0.46447513,0.77946407,-0.6646214,0.4886922
-6.3446345,-5.985504,0.44771573,1.0128145,-0.6169739,0.54367006
-6.5265937,-5.973533,1.1659763,1.0238101,-0.58276546,0.5925393
-6.955156,-5.422867,0.8810662,1.0519099,-0.5045747,0.6047566
-7.33344,-5.1906295,1.079785,1.1472049,-0.38728857,0.6169739
-8.698134,-4.644751,1.5107412,0.97127575,-0.20769419,0.48991394
-8.892065,-4.608838,1.5682021,0.8735373,-0.2321288,0.50701815
-8.836999,-5.085284,2.1092918,0.72082096,-0.19425514,0.63407815
-8.695741,-4.939238,1.316811,0.6365216,-0.10629055,0.8417723
-9.25359,-6.1746464,1.7980455,0.376293,-0.13072516,1.1154399
-9.3421755,-4.247314,2.4133554,0.2724459,-0.14049901,1.5515977
-9.157822,-2.5689783,2.719813,0.19303341,-0.09407325,2.0549507
-8.746018,-0.6607997,2.5474305,-0.23090707,-0.10751228,2.4263568
-8.765172,-0.08140286,3.9480386,-0.8698721,-0.22113322,2.879619
-8.781932,2.1284454,2.0709844,-1.4501941,-0.059864793,3.3206635
-8.659827,5.932832,0.6775591,-2.1380284,-0.21380283,3.8716638
-8.4347725,5.2600613,0.5722142,-3.2656856,-0.24923302,4.189314
-8.523358,3.1555579,-1.8818425,-3.8728857,-0.23823744,4.3359213
-9.528923,-4.1012673,-2.5881321,-3.853338,-0.27366763,4.3982296
-10.503363,-10.491392,-2.3558946,-3.186273,-0.39706242,4.3750167
-9.868899,-11.370064,-2.1045034,-1.3426818,-0.50823987,4.785518
-10.8385515,-11.0061455,0.6799533,-0.042760566,-0.42271876,4.946787
-12.253524,-13.656527,3.5410242,0.112399206,-0.49357912,4.546059
-12.169727,-16.30212,2.1523874,-0.015882496,-0.37507126,4.0500364
-12.310986,-18.698715,-0.1388637,0.14538592,-0.26389378,3.6468656
-12.430696,-14.17128,0.5602432,0.14905111,-0.20647246,3.659083
-12.919112,-8.197746,0.4213795,0.056199603,-0.105068825,3.98895
-13.565547,-5.7963624,0.29209262,-0.35796702,-0.028099801,3.9046507
-13.65892,-5.66947,0.7469909,-0.6914995,0.013439035,3.7323866
-14.056358,-6.4380083,1.2401965,-0.752586,0.0012217305,3.5906658
-14.226347,-7.5225816,2.123657,-0.5155703,-0.02565634,3.458719
-13.476961,-8.346188,3.0358477,-0.30543262,-0.021991149,3.3622024
