accx,accy,accz,gyrx,gyry,gyrz
2.822764,-5.4899044,13.084312,0.065973446,0.047647487,-0.037873644
2.1667526,-6.6654577,13.9677725,0.047647487,0.04886922,-0.040317107
2.0925324,-6.9767036,13.888764,-0.008552114,0.039095376,-0.042760566
3.145981,-6.019023,13.182474,-0.0036651916,0.035430185,-0.040317107
4.0821137,-4.1180267,12.310986,0.029321533,0.036651913,-0.039095376
4.39336,-4.534618,11.650186,0.062308256,0.039095376,-0.04153884
4.8722005,-7.3286514,11.6669445,0.06963864,0.040317107,-0.036651913
5.3223104,-8.683769,12.095507,0.065973446,0.043982297,-0.035430185
5.140351,-8.346188,13.189657,0.05131268,0.04642576,-0.036651913
4.7548847,-6.6510925,13.024457,0.02687807,0.042760566,-0.028099801
4.8482585,-5.884948,12.753913,0.015882496,0.036651913,-0.02565634
5.3725886,-6.184223,12.428301,0.019547688,0.036651913,-0.02565634
5.554548,-6.3350577,11.935096,0.040317107,0.032986723,-0.017104227
5.6670756,-6.2488666,11.631032,0.065973446,0.02076942,-0.010995574
5.5641246,-5.4324436,12.0332575,0.06719518,0.010995574,-0.009773844
5.3606176,-4.8961425,12.059594,0.05009095,0.0036651916,-0.002443461
5.329493,-4.3598413,11.662156,0.021991149,0.0012217305,0.0012217305
5.6407394,-3.6367924,10.848128,0.012217305,-0.0012217305,0.004886922
5.995081,-3.1052797,9.969456,0.010995574,-0.007330383,0.018325957
6.0884547,-2.669535,9.464279,0.0012217305,-0.004886922,0.02443461
6.205771,-1.6400281,8.65025,-0.002443461,-0.009773844,0.021991149
6.078878,-1.4293385,8.4108305,0.004886922,0.002443461,0.03176499
6.0956373,-2.4013844,8.549694,0.004886922,0.0,0.042760566
6.2105594,-2.7820623,8.583213,-0.004886922,-0.0061086523,0.039095376
6.3781533,-2.468422,8.4826565,0.007330383,-0.009773844,0.039095376
6.8330517,-1.8363527,8.42759,0.017104227,-0.015882496,0.05009095
7.386112,-1.0486604,7.9750857,0.0,-0.021991149,0.04642576
7.726089,-0.50517654,7.383718,-0.021991149,-0.02076942,0.043982297
7.843405,-0.47405192,7.043741,-0.02565634,-0.019547688,0.042760566
7.9008656,-1.0702082,6.7588315,-0.017104227,-0.008552114,0.04153884
7.7189064,-1.4676456,6.2225304,0.008552114,-0.008552114,0.039095376
7.467515,-1.7788919,5.755661,0.021991149,-0.004886922,0.040317107
7.326257,-1.3455414,5.398925,0.017104227,-0.0061086523,0.037873644
6.600814,-0.055066638,4.3718123,0.008552114,-0.009773844,0.034208454
5.5760956,-0.23702596,3.3279405,0.004886922,-0.007330383,0.028099801
5.303157,-0.61770403,1.7669208,0.002443461,-0.007330383,0.028099801
4.900931,-0.15562311,1.5107412,0.017104227,-0.013439035,0.02687807
3.8019924,0.89782566,1.9512744,0.029321533,-0.012217305,0.029321533
2.2002714,1.5131354,2.89459,0.021991149,-0.013439035,0.028099801
0.9648633,1.5562311,4.5657425,0.0061086523,-0.014660766,0.028099801
-0.7541735,2.066196,8.341399,-0.0061086523,-0.015882496,0.034208454
-2.0398598,1.8339585,7.7691846,-0.009773844,-0.015882496,0.030543262
-2.3535004,2.5067291,5.8226986,-0.017104227,-0.013439035,0.03176499
-3.9504328,3.7325604,4.1132383,-0.013439035,-0.010995574,0.036651913
-4.9799395,4.048595,2.4540567,-0.004886922,-0.008552114,0.030543262
-6.2345014,2.135628,1.5370775,0.030543262,-0.009773844,0.037873644
-7.079654,-1.2641385,0.9744401,0.042760566,-0.017104227,0.04153884
-6.777985,-1.5873557,0.23223756,0.02687807,-0.018325957,0.037873644
-6.7013707,-2.4109612,-1.8076223,0.009773844,-0.017104227,0.04520403
-7.153875,-3.1268275,-2.1068976,-0.007330383,-0.013439035,0.04642576
-6.933608,-2.0973208,-1.7669208,-0.017104227,-0.007330383,0.04520403
-6.181829,-0.9959879,-1.6543933,-0.013439035,-0.0061086523,0.042760566
-5.7029886,0.51475334,-1.6472107,-0.002443461,-0.007330383,0.04520403
-5.509058,0.59136784,-1.6041151,0.0036651916,-0.010995574,0.042760566
-5.4420204,0.038307227,-1.2306197,0.013439035,-0.013439035,0.042760566
-5.614403,-0.9792285,-1.0941502,0.017104227,-0.012217305,0.04642576
-6.0956373,-2.0973208,-1.1923125,0.009773844,-0.009773844,0.05497787
-6.2943563,-2.7269957,-0.82360536,-0.004886922,-0.0061086523,0.04886922
-6.5098343,-3.122039,0.079008654,-0.0012217305,-0.002443461,0.04153884
-6.445191,-3.4572272,0.94092125,0.0036651916,0.002443461,0.043982297
-6.445191,-3.4572272,0.94092125,0.008552114,0.004886922,0.040317107
-6.241684,-5.0134583,1.958457,0.014660766,0.0061086523,0.039095376
-5.971139,-7.2807674,3.095703,0.021991149,0.0036651916,0.034208454
-5.7508726,-9.44752,4.220978,0.0012217305,0.0036651916,0.029321533
-5.41329,-11.51611,4.7884035,-0.007330383,-0.002443461,0.028099801
-4.9416323,-13.826515,5.887342,0.002443461,-0.0012217305,0.03176499
-4.560954,-16.213533,6.9719152,0.032986723,0.0012217305,0.030543262
-5.097255,-18.243816,8.51857,0.04153884,0.0012217305,0.029321533
-6.009446,-18.339584,10.007763,0.042760566,-0.0012217305,0.02321288
-7.4124484,-17.044321,11.341333,0.035430185,0.0012217305,0.03176499
-7.5561004,-14.595054,13.290214,0.008552114,0.0061086523,0.040317107
-6.6103907,-11.872847,15.20797,-0.014660766,0.007330383,0.032986723
-5.092467,-10.716447,15.679626,0.0012217305,0.008552114,0.029321533
-3.9671922,-11.250354,15.006856,0.032986723,0.002443461,0.036651913
-2.8754363,-12.064383,13.948619,0.042760566,-0.002443461,0.035430185
-2.1092918,-12.780249,13.548787,0.015882496,-0.0012217305,0.032986723
-2.1164744,-13.936648,14.159308,-0.010995574,-0.0036651916,0.037873644
-3.1292217,-15.612589,14.95179,-0.018325957,0.0,0.032986723
-4.2664676,-16.68998,15.021221,0.0036651916,0.002443461,0.030543262
-5.056554,-16.18241,14.216769,0.032986723,0.0012217305,0.034208454
-5.0182467,-14.738706,13.433866,0.043982297,0.0,0.028099801
-4.5633483,-13.297397,12.794614,0.028099801,0.0061086523,0.028099801
-3.8546648,-12.239159,12.181698,0.0,0.014660766,0.02565634
-3.2728736,-11.506534,10.25676,-0.021991149,0.015882496,0.019547688
-2.791639,-11.554418,12.136209,-0.004886922,0.014660766,0.019547688
-4.256891,-14.219164,15.981297,0.021991149,0.017104227,0.019547688
-3.1771057,-13.050794,11.678916,0.040317107,0.018325957,0.015882496
-1.2761095,-15.198392,11.87524,0.05131268,0.017104227,0.014660766
-0.7541735,-13.65892,9.950302,0.057421334,0.015882496,0.013439035
-0.39264908,-11.834539,11.300632,0.05009095,0.014660766,0.012217305
-0.40701428,-8.935161,9.928755,0.035430185,0.015882496,0.007330383
-0.110133275,-8.4587145,7.309498,0.02076942,0.02321288,0.004886922
-0.34476504,-10.9582615,1.1803415,0.02443461,0.019547688,0.007330383
-2.2840683,-12.978968,4.8386817,0.032986723,0.021991149,0.004886922
-5.628768,-9.900024,11.669339,0.035430185,0.021991149,0.004886922
-7.0102224,-4.6471453,13.139379,0.028099801,0.015882496,0.0061086523
-5.470751,-4.0557775,8.394072,0.02687807,0.02321288,0.0
-4.2185836,-8.008605,5.118803,0.032986723,0.021991149,0.0012217305
-4.5082817,-8.111555,5.4324436,0.042760566,0.019547688,0.0036651916
-4.2425256,-6.9527617,5.9424086,0.05375614,0.019547688,0.009773844
-4.3957543,-6.7923503,6.1650696,0.043982297,0.014660766,0.013439035
-5.5018754,-6.799533,5.485116,0.007330383,0.017104227,0.010995574
-5.8466406,-7.3669586,5.3845596,-0.012217305,0.019547688,0.015882496
-5.9160724,-7.2831616,6.0142345,-0.0036651916,0.021991149,0.02443461
-5.877765,-6.0118403,6.667852,0.02565634,0.013439035,0.028099801
-4.9440265,-4.4101195,3.7469256,0.047647487,0.007330383,0.032986723
-4.9823337,-4.876989,2.7629087,0.042760566,0.007330383,0.030543262
-5.3342814,-6.588843,3.8977604,0.008552114,0.009773844,0.029321533
-5.0038815,-7.2304893,3.9504328,0.004886922,0.013439035,0.032986723
-4.6950297,-6.9383965,3.6822822,0.019547688,0.008552114,0.036651913
-4.8267107,-7.017405,4.211401,0.015882496,0.0036651916,0.028099801
-4.76925,-6.4068837,4.5274353,0.004886922,0.0,0.02565634
-4.2544966,-6.2464724,6.766014,0.002443461,0.0012217305,0.02687807
-3.58412,-5.9400144,5.2528787,0.004886922,0.009773844,0.028099801
-3.799598,-5.3965306,3.6703112,0.019547688,0.014660766,0.02687807
-4.4915223,-4.4460325,3.0214825,0.03176499,0.018325957,0.02443461
-4.309563,-6.0884547,3.5817258,0.04520403,0.015882496,0.028099801
-3.8905778,-5.7604494,3.4117374,0.035430185,0.009773844,0.02565634
-4.2544966,-4.1371803,3.323152,0.009773844,0.007330383,0.02076942
-4.4125137,-3.8355112,3.383007,-0.014660766,0.007330383,0.017104227
-4.5896845,-3.7014358,3.0502129,-0.0061086523,0.012217305,0.019547688
-5.0374002,-3.2632968,2.992752,0.018325957,0.008552114,0.02076942
-4.867412,-3.821146,2.9041667,0.032986723,0.0061086523,0.019547688
-4.7860093,-3.371036,3.0190883,0.04153884,0.0061086523,0.02321288
-5.3941364,-1.7549498,3.5170822,0.032986723,0.0036651916,0.02565634
-6.021417,-1.5131354,3.4045548,0.009773844,0.0012217305,0.019547688
-6.007052,-3.7852328,2.9496565,0.004886922,0.002443461,0.019547688
-6.459556,-2.171541,2.1787236,0.02076942,0.004886922,0.02076942
-6.8306575,-2.3894134,2.719813,0.04153884,0.009773844,0.018325957
-7.2951326,-2.5187001,2.9113493,0.043982297,0.014660766,0.019547688
-8.001422,-2.6408045,2.5210943,0.032986723,0.0012217305,0.02443461
-7.869741,-2.822764,1.6256629,0.021991149,-0.0012217305,0.02565634
-8.109161,-3.2369606,1.2785037,-0.015882496,-0.0036651916,0.02321288
-8.109161,-3.2369606,1.2785037,-0.02321288,-0.008552114,0.019547688
-8.966286,-3.1555579,0.6895301,-0.0012217305,-0.0061086523,0.02076942
-9.469068,-3.8666358,0.4165911,0.034208454,0.002443461,0.029321533
-9.574412,-4.098873,0.9744401,0.05375614,-0.0012217305,0.036651913
